2022-10-20 19:11:23,304 [restartedMain] INFO  c.e.d.d.DataSourceConfig 37 - 解密后的password：root
2022-10-20 19:11:23,305 [restartedMain] INFO  c.e.d.d.DataSourceConfig 42 - -----------创建数据源成功
2022-10-20 19:11:23,850 [restartedMain] INFO  o.s.s.c.ThreadPoolTaskExecutor 181 - Initializing ExecutorService 'applicationTaskExecutor'
2022-10-20 19:11:24,164 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer 58 - LiveReload server is running on port 35729
2022-10-20 19:11:24,185 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8065"]
2022-10-20 19:11:24,223 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer 220 - Tomcat started on port(s): 8065 (http) with context path '/nap'
2022-10-20 19:11:24,238 [restartedMain] INFO  com.example.demo.DemoApplication 61 - Started DemoApplication in 4.762 seconds (JVM running for 5.592)
2022-10-20 19:11:32,225 [http-nio-8065-exec-1] INFO  o.a.c.c.C.[.[localhost].[/nap] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-10-20 19:11:32,225 [http-nio-8065-exec-1] INFO  o.s.web.servlet.DispatcherServlet 525 - Initializing Servlet 'dispatcherServlet'
2022-10-20 19:11:32,234 [http-nio-8065-exec-1] INFO  o.s.web.servlet.DispatcherServlet 547 - Completed initialization in 9 ms
2022-10-20 19:11:32,349 [http-nio-8065-exec-1] INFO  c.example.demo.reqGate.ReqController 38 - callService发起服务请求RequestData{service='QueryInfoService', method='queryInfo1', mapParams={Params={id=1}}}
2022-10-20 19:54:09,290 [SpringContextShutdownHook] INFO  o.s.s.c.ThreadPoolTaskExecutor 218 - Shutting down ExecutorService 'applicationTaskExecutor'
2022-10-20 19:54:09,291 [SpringContextShutdownHook] INFO  c.alibaba.druid.pool.DruidDataSource 2003 - {dataSource-0} closing ...
